id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url,price_change,floor,location_part,street_id,latitude,longitude
1123282,"[59.33695736385066,18.025530244563154]","Svarvargatan 3, 2 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3650000,Slutpris 3 650 000 kr,93590,1827,2020-08-03,3650000,2,39,0,"/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-svarvargatan-3,-2-tr-1123282",null,,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,0,2,Kungsholmen,svarvargatan,59.33695736385066,18.025530244563154
1139756,"[59.32892343420378,18.019346434686543]","Gjörwellsgatan 15, 1 trp",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4050000,Slutpris 4 050 000 kr,71303,3538,2020-02-09,3690000,2,56.8,0,"/salda/lagenhet-2,5rum-marieberg-kungsholmen-stockholms-kommun-gjorwellsgatan-15,-1-trp-1139756",null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/09/8d/098d01e00641ae617706acaf23bb6915.png,10,1,Kungsholmen,gjrwellsgatan,59.32892343420378,18.019346434686543
1139783,"[59.327111962896275,18.009479044477448]",Atterbomsvägen 30,Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",2500000,Slutpris 2 500 000 kr,100000,1452,2020-02-09,1995000,1,25,0,/salda/lagenhet-1rum-kungsholmen-fredhall-stockholms-kommun-atterbomsvagen-30-1139783,null,+25 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,25,0,Fredhäll,atterbomsvgen,59.327111962896275,18.009479044477448
1139829,"[59.32885285266372,18.041304332706463]","Södra Agnegatan 20, 3tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",7700000,Slutpris 7 700 000 kr,105479,1793,2020-02-09,6750000,3,73,0,"/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-sodra-agnegatan-20,-3tr-1139829",null,+14 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg,14,3,Kungsholmen,sdraagnegatan,59.32885285266372,18.041304332706463
1139903,"[59.3264370094667,18.021165456974373]","Fyrverkarbacken 23, 3 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",2950000,Slutpris 2 950 000 kr,68605,2218,2020-02-09,2950000,1,43,0,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-fyrverkarbacken-23,-3-tr-1139903",null,,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg,0,3,Kungsholmen,fyrverkarbacken,59.3264370094667,18.021165456974373
1139981,"[59.331374576776184,18.023310023029993]",Lilla Västerbron 6,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",6600000,Slutpris 6 600 000 kr,77193,4089,2020-02-09,5995000,3,85.5,0,/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-lilla-vasterbron-6-1139981,null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,10,0,Kungsholmen,lillavsterbron,59.331374576776184,18.023310023029993
1140060,"[59.339757737008135,18.007045134499638]","Harry Martinsons gata 9, 7 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",7900000,Slutpris 7 900 000 kr,76699,4378,2020-02-10,7550000,4,103,0,"/salda/lagenhet-4rum-kungsholmen,-hornsbergs-strand-stockholms-kommun-harry-martinsons-gata-9,-7-tr-1140060",null,+5 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg,5,7,Kungsholmen,harrymartinsonsgata,59.339757737008135,18.007045134499638
1140088,"[59.338855412764666,18.00525905198866]",Franzéngatan 74,Bostadsrättslägenhet,bostadsratt,"Kristineberg, Stockholm",7500000,Slutpris 7 500 000 kr,73529,5601,2020-02-10,7800000,4,102,0,/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-franzengatan-74-1140088,null,-4 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png,-4,0,Kristineberg,franzngatan,59.338855412764666,18.00525905198866
1140162,"[59.33820630586153,18.023213948835153]",Igeldammsgatan 34,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",5000000,Slutpris 5 000 000 kr,72464,3095,2020-02-10,4975000,2,69,0,"/salda/lagenhet-2,5rum-kungsholmen-stockholms-kommun-igeldammsgatan-34-1140162",null,+1 %,https://bilder.hemnet.se/images/broker_logo_2/9f/e9/9fe95faec28ec68412af10f0c2add49e.png,1,0,Kungsholmen,igeldammsgatan,59.33820630586153,18.023213948835153
1140202,"[59.337339989410076,18.030718099815047]",Kungsholms strand 141,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",2675000,Slutpris 2 675 000 kr,92241,1235,2020-02-10,2295000,1,29,0,/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-kungsholms-strand-141-1140202,null,+17 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg,17,0,Kungsholmen,kungsholmsstrand,59.337339989410076,18.030718099815047
1140296,"[59.329287599614595,18.034994779328315]",Jaktvarvsplan 3,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",3190000,Slutpris 3 190 000 kr,106333,1715,2020-02-10,2495000,2,30,0,/salda/lagenhet-2rum-kungsholmen-norr-malarstrand-stockholms-kommun-jaktvarvsplan-3-1140296,null,+28 %,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png,28,0,Kungsholmen,jaktvarvsplan,59.329287599614595,18.034994779328315
1140376,"[59.32822234337473,18.036746152390407]","John Ericssonsgatan 5, 1 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",5350000,Slutpris 5 350 000 kr,89167,2628,2020-02-10,4850000,2,60,0,"/salda/lagenhet-2rum-kungsholmen-stockholms-kommun-john-ericssonsgatan-5,-1-tr-1140376",null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg,10,1,Kungsholmen,johnericssonsgatan,59.32822234337473,18.036746152390407
1140402,"[59.33073490718146,18.03072735080565]",Hantverkargatan 77,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",13500000,Slutpris 13 500 000 kr,89404,6652,2020-02-10,13500000,5,151,0,/salda/lagenhet-5rum-kungsholmen-stockholms-kommun-hantverkargatan-77-1140402,null,,https://bilder.hemnet.se/images/broker_logo_2/60/50/6050a8294572c2e46593c47e95dca0bf.jpg,0,0,Kungsholmen,hantverkargatan,59.33073490718146,18.03072735080565
1140434,"[59.33261496144025,18.042977460993036]",Norra Agnegatan 43,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",6000000,Slutpris 6 000 000 kr,103448,2905,2020-02-11,6000000,2,58,0,/salda/lagenhet-2rum-kungsholmen-radhuset-stockholms-kommun-norra-agnegatan-43-1140434,null,,https://bilder.hemnet.se/images/broker_logo_2/70/88/7088fe6ff6a4c2413ceb8481b3a51c7b.png,0,0,Kungsholmen,norraagnegatan,59.33261496144025,18.042977460993036
1140606,"[59.329074562505205,18.03796531281491]",John Ericssonsgatan 14,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",4000000,Slutpris 4 000 000 kr,95238,2036,2020-02-11,3395000,1,42,0,/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-john-ericssonsgatan-14-1140606,null,+18 %,https://bilder.hemnet.se/images/broker_logo_2/ec/92/ec92573d800c8d9c0cf06ed9971e790c.png,18,0,Kungsholmen,johnericssonsgatan,59.329074562505205,18.03796531281491
