id,coordinate,address,typeSummary,iconName,location_name,price,formatted_price,price_per_area,fee,sale_date,asked_price,rooms,living_space,supplemental_area,url,land_area,formatted_price_change_percentage,broker_logo_url
1123282,"[59.33695736385066,18.025530244563154]","Svarvargatan 3, 2 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 3 650 000 kr</span>,Slutpris 3 650 000 kr,93 590 kr/m²,1 827 kr/mån,Såld 2020-08-03,Begärt pris 3 650 000 kr,2 rum,39 m²,null,"/salda/lagenhet-2rum-kungsholmen-fridhemsplan-stockholms-kommun-svarvargatan-3,-2-tr-1123282",null,,https://bilder.hemnet.se/images/broker_logo_2/00/9d/009dcc234822d495abe7f49ba2829022.png
1139756,"[59.32892343420378,18.019346434686543]","Gjörwellsgatan 15, 1 trp",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 4 050 000 kr</span>,Slutpris 4 050 000 kr,71 303 kr/m²,3 538 kr/mån,Såld 2020-02-09,Begärt pris 3 690 000 kr,"2,5 rum","56,8 m²",null,"/salda/lagenhet-2,5rum-marieberg-kungsholmen-stockholms-kommun-gjorwellsgatan-15,-1-trp-1139756",null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/09/8d/098d01e00641ae617706acaf23bb6915.png
1139783,"[59.327111962896275,18.009479044477448]",Atterbomsvägen 30,Bostadsrättslägenhet,bostadsratt,"Fredhäll, Stockholm",<span class='sold-for'>Slutpris 2 500 000 kr</span>,Slutpris 2 500 000 kr,100 000 kr/m²,1 452 kr/mån,Såld 2020-02-09,Begärt pris 1 995 000 kr,1 rum,25 m²,null,/salda/lagenhet-1rum-kungsholmen-fredhall-stockholms-kommun-atterbomsvagen-30-1139783,null,+25 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png
1139829,"[59.32885285266372,18.041304332706463]","Södra Agnegatan 20, 3tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 7 700 000 kr</span>,Slutpris 7 700 000 kr,105 479 kr/m²,1 793 kr/mån,Såld 2020-02-09,Begärt pris 6 750 000 kr,3 rum,73 m²,null,"/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-sodra-agnegatan-20,-3tr-1139829",null,+14 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg
1139903,"[59.3264370094667,18.021165456974373]","Fyrverkarbacken 23, 3 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 2 950 000 kr</span>,Slutpris 2 950 000 kr,68 605 kr/m²,2 218 kr/mån,Såld 2020-02-09,Begärt pris 2 950 000 kr,1 rum,43 m²,null,"/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-fyrverkarbacken-23,-3-tr-1139903",null,,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg
1139981,"[59.331374576776184,18.023310023029993]",Lilla Västerbron 6,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 6 600 000 kr</span>,Slutpris 6 600 000 kr,77 193 kr/m²,4 089 kr/mån,Såld 2020-02-09,Begärt pris 5 995 000 kr,3 rum,"85,5 m²",null,/salda/lagenhet-3rum-kungsholmen-stockholms-kommun-lilla-vasterbron-6-1139981,null,+10 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png
1140060,"[59.339757737008135,18.007045134499638]","Harry Martinsons gata 9, 7 tr",Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 7 900 000 kr</span>,Slutpris 7 900 000 kr,76 699 kr/m²,4 378 kr/mån,Såld 2020-02-10,Begärt pris 7 550 000 kr,4 rum,103 m²,null,"/salda/lagenhet-4rum-kungsholmen,-hornsbergs-strand-stockholms-kommun-harry-martinsons-gata-9,-7-tr-1140060",null,+5 %,https://bilder.hemnet.se/images/broker_logo_2/d0/d1/d0d15b52be14775108dc9a3b1f65a37d.jpg
1140088,"[59.338855412764666,18.00525905198866]",Franzéngatan 74,Bostadsrättslägenhet,bostadsratt,"Kristineberg, Stockholm",<span class='sold-for'>Slutpris 7 500 000 kr</span>,Slutpris 7 500 000 kr,73 529 kr/m²,5 601 kr/mån,Såld 2020-02-10,Begärt pris 7 800 000 kr,4 rum,102 m²,null,/salda/lagenhet-4rum-kungsholmen-stockholms-kommun-franzengatan-74-1140088,null,-4 %,https://bilder.hemnet.se/images/broker_logo_2/73/c6/73c63376473b74a25e13711a82fcae60.png
1140162,"[59.33820630586153,18.023213948835153]",Igeldammsgatan 34,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 5 000 000 kr</span>,Slutpris 5 000 000 kr,72 464 kr/m²,3 095 kr/mån,Såld 2020-02-10,Begärt pris 4 975 000 kr,"2,5 rum",69 m²,null,"/salda/lagenhet-2,5rum-kungsholmen-stockholms-kommun-igeldammsgatan-34-1140162",null,+1 %,https://bilder.hemnet.se/images/broker_logo_2/9f/e9/9fe95faec28ec68412af10f0c2add49e.png
1140202,"[59.337339989410076,18.030718099815047]",Kungsholms strand 141,Bostadsrättslägenhet,bostadsratt,"Kungsholmen, Stockholm",<span class='sold-for'>Slutpris 2 675 000 kr</span>,Slutpris 2 675 000 kr,92 241 kr/m²,1 235 kr/mån,Såld 2020-02-10,Begärt pris 2 295 000 kr,1 rum,29 m²,null,/salda/lagenhet-1rum-kungsholmen-stockholms-kommun-kungsholms-strand-141-1140202,null,+17 %,https://bilder.hemnet.se/images/broker_logo_2/63/7c/637c17c40a250ef71084ac34e860d757.jpg
